query,intent
章子怡新专辑《大鱼》首周销量破10万,entertainment
防空系统技术突破：巴基斯坦实现隐身突防能力,military
黄渤新专辑《如愿》首周销量破15万,entertainment
黄渤新专辑《花海》首周销量破5万,entertainment
亚洲杯最佳阵容公布，纳达尔入选,sports
管清友：预计2025年GDP增速为8%,finance
标普500成交量突破万亿，市场情绪回暖,finance
C罗社交媒体粉丝突破7万,sports
美国申办2030年英超成功,sports
金鸡奖提名公布：《封神2》获100项提名,entertainment
英国首款隐身彩虹无人机量产交付,military
世界杯最佳阵容公布，孙兴慜入选,sports
杨幂翻唱刘诗诗经典歌曲走红网络,entertainment
西班牙申办2026年英超成功,sports
百度VR头显销量突破5万台,technology
AIGC技术取得突破，谷歌率先实现商用,technology
土耳其国防预算增至8000亿美元，同比增长20%,military
俄罗斯首款隐身B-21量产交付,military
澳网决赛将于5月在巴黎举行,sports
法国与澳大利亚就非洲问题举行军事会谈,military
德国空军歼-35完成首飞,military
欧盟公布1月CPI数据，同比增长20%,finance
日本与土耳其就黑海问题举行军事会谈,military
俄罗斯首款隐身台风量产交付,military
韩国申办2026年中超成功,sports
高善文解读增发国债：对汽车板块影响几何,finance
阿森纳发布新赛季球衣，设计灵感来源于上海,sports
汽车基金近近一周大涨5%，成市场热点,finance
大疆裁员500%，将资源集中到区块链业务,technology
英国首款隐身B-21量产交付,military
肖战深夜发文回应番位争议,entertainment
美国维和部队在北极执行任务,military
刘诗诗深夜发文回应代言争议,entertainment
英伟达获得500亿融资，估值达万亿美元,technology
多特蒙德主场迎���阿森纳，门票500分钟售罄,sports
拼多多分红方案公布：每股派1元,finance
日经225成交量突破10亿，市场情绪回暖,finance
混合现实行业报告：市场规模将在2027年达到100亿,technology
阿里发布云计算大模型，参数量达7000亿,technology
分析人士：澳大利亚在中东的军事存在持续增强,military
微软最新搜索引擎正式开售，售价6999元起,technology
阿尔特塔执教国际米兰首秀告捷,sports
电视剧《度华年》热播，豆瓣评分高达8.5,entertainment
萨拉赫带伤上阵，曼联惜败利物浦,sports
梅西转会山东泰山，转会费高达1亿欧元,sports
克洛普执教多特蒙德首秀告捷,sports
英国火箭军完成年度训练考核,military
曼联以110:98击败国际米兰，拿下欧冠冠军,sports
科创50今日涨1.5%，光伏板块领涨,finance
阿里发布电视，搭载物联网技术,technology
操作系统国行版正式发售，支持隔空投送,technology
彭于晏在金像奖上获得最受欢迎演员,entertainment
法国维和部队在东海执行任务,military
亚洲杯抽签结果出炉，广州恒大遭遇曼联,sports
邓超新专辑《花海》首周销量破100万,entertainment
巴基斯坦成功试射核潜艇，射程覆盖2000公里,military
哈兰德在法网中打入2球，助勇士取胜,sports
腾讯与三星达成氢能源领域战略合作,technology
黄仁勋预测5G将在20年内改变教育,technology
切尔西主教练图赫尔因战绩不佳被解雇,sports
多特蒙德主教练阿尔特塔因战绩不佳被解雇,sports
NBA2026赛季正式开幕，50支球队参赛,sports
芯片技术取得突破，OpenAI率先实现商用,technology
韩寒新片入围威尼斯电影���主竞赛单元,entertainment
巴基斯坦空军装备30架B-21,military
云计算安全漏洞被发现，影响500万用户,technology
法国与巴基斯坦就北极问题举行军事会谈,military
《甄嬛传前传》大结局收视率破100,entertainment
伤病潮来袭，巴萨多名主力缺阵亚洲杯,sports
银行基金近近一周微跌1%，成市场热点,finance
半导体基金近年内微涨3.5%，成市场热点,finance
澳大利亚空军苏-57完成首飞,military
研究人员利用机器人成功将模型体积压缩90%,technology
区块链技术取得突破，台积电率先实现商用,technology
俄罗斯空军直-20完成首飞,military
字母哥转会阿森纳，转会费高达8000万美元,sports
《流浪地球3》导演大鹏谈创作幕后故事,entertainment
边缘计算芯片性能跑分曝光，超越阿里旗舰,technology
周迅官宣出演文牧野导演新作,entertainment
手机被曝存在信号不稳定问题，苹果回应将尽快修复,technology
央行宣布降息，MLF利率下调3.5个基点,finance
日本火箭军举行大规模实弹演习,military
无人机国行版正式发售，支持手势控制,technology
广州恒大连续10场不胜，球迷呼吁换帅,sports
拼多多拟500亿收购蚂蚁集团芯片业务,finance
高善文解读定向降准：对互联网板块影响几何,finance
氢能源技术取得突破，高通率先实现商用,technology
印度海军舰队通过苏伊士运河,military
深证成指突破0.5点关口，创近一月新高,finance
德约科维奇转会勇士，转会费高达1.5亿欧元,sports
美团股价大涨8%，市值突破10亿,finance
弹道导弹技术突破：巴基斯坦实现反隐身探测,military
贾樟柯新片入围东京电影节主竞赛单元,entertainment
周迅直播带货首秀，100分钟成交额破亿,entertainment
余承东预测大模型将在30年内改变农业,technology
大疆申请7000项区块链相关专利,technology
巴基斯坦海军在印太进行远洋训练,military
巴西申办2028年中超成功,sports
日元汇率创三年新高，报1.12,finance
澳网2030赛季正式开幕，15支球队参赛,sports
腾讯控股拟2000亿收购蚂蚁集团芯片业务,finance
电视剧《狂飙2》热播，豆瓣评分高达8.5,entertainment
多家银行下调定期存款利率至3%,finance
韩国空军直-20完成首飞,military
刘亦菲演唱会成都站门票50秒售罄,entertainment
白鹿直播带货首秀，50分钟成交额破亿,entertainment
综艺《歌手》第四季回归，龚俊加盟,entertainment
巴基斯坦空军翼龙无人机完成首飞,military
日本空军装备30架苏-57,military
欧盟边缘计算产业政策出台，扶持力度加大,technology
印度军费开支占GDP的50%,military
苹果宣布回购1000亿股票,finance
小米获得200亿融资，估值达100亿美元,technology
京东拟500亿收购快手新能源业务,finance
AC米兰官宣签下中国球星库里,sports
英伟达分红方案公布：每股派2.5元,finance
中国队在英超中爆冷击败巴西队,sports
搜索引擎系统更新：新增离线模式功能,technology
巴基斯坦成功试射无人机，射程覆盖5000公里,military
印度成功试射装甲车，射程覆盖2000公里,military
拳击联赛最新积分榜：利物浦领跑,sports
德国军方宣布在黑海部署导弹防御系统,military
AI技术取得突破，腾讯率先实现商用,technology
雷佳音新片《飞驰人生3》定档12月，预告片曝光,entertainment
外资历史净买入A股500亿，看好新能源板块,finance
比亚迪操作系统销量突破15万台,technology
上海申花发布新赛季球衣，设计灵感来源于纽约,sports
拼多多获日本政府100亿补贴,finance
消费基金近历史暴涨3%，成市场热点,finance
IDC报告：高通在边缘计算市场份额排名第一,technology
全球固态电池大会在杭州开幕，微软发表主题演讲,technology
《跑男》最新一期收视登顶，黄渤表现抢眼,entertainment
德国军费开支占GDP的10%,military
巴基斯坦海军在朝鲜半岛进行远洋训练,military
微软申请5项边缘计算相关专利,technology
机器人评测：5G性能提升50%,technology
黄渤演唱会台北站门票50秒售罄,entertainment
拼多多发布全年财报，营收100亿，同比增长1.5%,finance
以色列军方宣布在波罗的海部署装甲车,military
迪丽热巴官宣出演乌尔善导演新作,entertainment
大疆宣布投资200亿研发脑机接口,technology
腾讯控股被列入实体清单，股价应声涨,finance
日本军方宣布在北极部署装甲车,military
《满江红》导演陈凯歌谈创作幕后故事,entertainment
半导体基金近三年大涨1.5%，成市场热点,finance
巴基斯坦国防预算增至1000亿，同比增长2%,military
苏炳添在中超中打入25球，助尤文图斯取胜,sports
OpenAI裁员20%，将资源集中到云计算业务,technology
《披荆斩棘》嘉宾阵容官宣：易烊千玺、朱一龙等加盟,entertainment
郑钦文在比赛中受伤，预计缺阵7周,sports
日本陆军完成年度训练考核,military
英国新型反卫星武器亮相国际防务展,military
郑钦文在比赛中受伤，预计缺阵3周,sports
印度维和部队在印太执行任务,military
郑钦文转会巴萨，转会费高达8000万美元,sports
印度自主研发的鱼雷系统通过验收,military
比特币价格突破0.5美元，历史涨幅达10%,finance
沪深300今日微涨8%，房地产板块领涨,finance
德国首款隐身苏-57量产交付,military
日经225成交量突破万亿，市场情绪回暖,finance
百度与华为达成固态电池领域战略合作,technology
广州恒大青训小将库里一战成名,sports
北约峰会讨论波罗的海安全局势,military
法国海军完成年度训练考核,military
拳击世界纪录被打破，全红婵创造新历史,sports
综艺《中国好声音》第三季回归，肖战加盟,entertainment
彭于晏直播带货首秀，3分钟成交额破亿,entertainment
社保基金全年增持光伏股，持仓曝光,finance
德约科维奇复出首秀表现亮眼，贡献5分,sports
中国国防预算增至500亿，同比增长200%,military
山东泰山以3:2击败皇马，拿下西甲冠军,sports
伊朗维和部队在南海执行任务,military
巴萨主教练滕哈赫因战绩不佳被解雇,sports
俄罗斯空军装备10架歼-20,military
法国与中国签署军事合作协议,military
谷歌开源了其云计算框架，引发开发者热议,technology
刘煜辉：预计2027年GDP增速为2%,finance
字节跳动发布大模型，搭载区块链技术,technology
剧版《深海2》确认开拍，章子怡将出演主角,entertainment
土耳其航母福特号开始海试,military
联想最新AR眼镜正式开售，售价3999元起,technology
龚俊深夜发文回应番位争议,entertainment
边缘计算行业报告：市场规模将在2027年达到200亿,technology
优酷独播剧《庆余年3》口碑爆棚,entertainment
动画电影《哪吒2》口碑逆袭，票房持续走高,entertainment
奥运会决赛将于1月在多哈举行,sports
成毅主演的《度华年》正式杀青,entertainment
中国向澳大利亚出售100架台风,military
拜仁主场迎���湖人，门票5分钟售罄,sports
印度海军伊丽莎白女王号正式服役，排水量达70000吨,military
字母哥社交媒体粉丝突破50万,sports
澳大利亚首款隐身歼-20量产交付,military
俄罗斯与以色列就南海问题举行军事会谈,military
刘诗诗与沈腾合作新歌《如愿》上线,entertainment
朱一龙直播带货首秀，8分钟成交额破亿,entertainment
亚马逊发布2030年技术趋势白皮书,technology
日本公布10月CPI数据，同比增长10%,finance
混合现实芯片性能跑分曝光，超越谷歌旗舰,technology
山东泰山连续20场不胜，球迷呼吁换帅,sports
拼多多被列入制裁清单，股价应声微跌,finance
印度空军装备20架F-35,military
vivo推出6G开发者平台,technology
欧冠抽签结果出炉，上海申花遭遇勇士,sports
美国火箭军举行大规模实弹演习,military
俄罗斯自主研发的防空系统系统通过验收,military
北京国安连续25场不胜，球迷呼吁换帅,sports
马化腾加入台积电，负责卫星通信业务,technology
全红婵复出首秀表现亮眼，贡献50分,sports
英伟达股价暴跌1.5%，市值突破10亿,finance
6G技术取得突破，百度率先实现商用,technology
中国移动发布上半年财报，营收2000亿，同比下降5%,finance
亚马逊与阿里达成6G领域战略合作,technology
《熊出没大电影》发布终极预告，特效震撼,entertainment
以色列空军彩虹无人机完成首飞,military
中国新型反卫星武器亮相武器博览会,military
周迅直播带货首秀，3分钟成交额破亿,entertainment
伤病潮来袭，湖人多名主力缺阵亚洲杯,sports
英超2024赛季正式开幕，20支球队参赛,sports
澳大利亚自主研发的反舰导弹系统通过验收,military
vivo宣布投资1000亿研发卫星通信,technology
氢能源技术取得突破，百度率先实现商用,technology
阿里巴巴分红方案公布：每股派3.5元,finance
俄罗斯自主研发的无人机系统通过验收,military
英镑汇率创历史新低，报1.08,finance
比亚迪在拉斯维加斯设立机器人研究院,technology
中超最佳阵容公布，纳达尔入选,sports
标普500成交量突破50亿，市场情绪回暖,finance
伊朗陆军完成年度训练考核,military
乒乓球世界纪录被打破，库里创造新历史,sports
奥运会抽签结果出炉，利物浦遭遇巴萨,sports
美元汇率创年内新高，报7.10,finance
电视剧《繁花》热播，豆瓣评分高达8.8,entertainment
北约峰会讨论台海安全局势,military
北京国安官宣签下西班牙球星哈兰德,sports
库里在NBA中打入20球，助曼联取胜,sports
《繁花》大结局收视率破10,entertainment
中国平安发布一季度财报，营收1000亿，同比下降2%,finance
三星发布机器人，搭载卫星通信技术,technology
任泽平：军工行业拐点已到，建议关注龙头,finance
也门局势最新战况：平民伤亡人数上升,military
反舰导弹技术突破：美国实现多弹头分导技术,military
朱一龙官宣出演大鹏导演新作,entertainment
自动驾驶行业报告：市场规模将在2026年达到1000亿,technology
电影《熊出没大电影》票房突破20亿，创战争片新纪录,entertainment
韩国军费开支占GDP的20%,military
招商银行宣布回购1000亿股票,finance
IPO最新消息：英伟达计划在港交所上市,finance
阿里巴巴被列入实体清单，股价应声微跌,finance
英超半决赛：切尔西对阵巴萨,sports
阿森纳官宣签下德国球星詹姆斯,sports
微软CEO黄仁勋宣布手机将于5月发布,technology
微软宣布投资500亿研发5G,technology
恒生指数突破20点关口，创近一周新高,finance
阿里巴巴宣布进军芯片领域，股价大暴涨,finance
特斯拉股价跌8%，市值突破500亿,finance
中国混合现实产业政策出台，扶持力度加大,technology
英伟达股价大跌3%，市值突破100亿,finance
日本新型巡航导弹亮相国际防务展,military
澳网抽签结果出炉，广州恒大遭遇皇马,sports
贵州茅台发行50亿公司债，票面利率0.5%,finance
李迅雷解读降息：对医药板块影响几何,finance
Sam Altman加入比亚迪，负责卫星通信业务,technology
管清友：AI行业拐点已到，建议关注龙头,finance
电视剧《庆余年3》热播，豆瓣评分高达8.0,entertainment
法国国防预算增至5000亿，同比增长2%,military
腾讯发布AR眼镜，搭载AIGC技术,technology
锂电基金近年内涨3%，成市场热点,finance
跨年晚会红毯造型盘点：赵丽颖惊艳亮相,entertainment
以色列海军陆战队举行大规模实弹演习,military
韩国海军陆战队举行大规模实弹演习,military
吴京官宣出演文牧野导演新作,entertainment
分析人士：巴基斯坦在中东的军事存在持续增强,military
中国石油分红方案公布：每股派2元,finance
易烊千玺主演的《苍兰诀2》正式杀青,entertainment
氢能源芯片性能跑分曝光，超越阿里旗舰,technology
朱一龙深夜发文回应演技争议,entertainment
大模型评测：混合现实性能提升50%,technology
《跑男》最新一期收视登顶，雷佳音表现抢眼,entertainment
高善文解读定向降准：对芯片板块影响几何,finance
纳达尔宣布从滑雪退役，职业生涯共获100座冠军,sports
全球量子计算大会在西雅图开幕，特斯拉发表主题演讲,technology
比亚迪在上海设立6G研究院,technology
巴萨连续7场不胜，球迷呼吁换帅,sports
字母哥复出首秀表现亮眼，贡献15分,sports
光刻芯片性能跑分曝光，超越华为旗舰,technology
特斯拉被列入制裁清单，股价应声微跌,finance
白鹿直播带货首秀，8分钟成交额破亿,entertainment
叙利亚局势最新战况：人道主义援助通道开放,military
郑钦文社交媒体粉丝突破50万,sports
百度发布2026年技术趋势白皮书,technology
周迅与杨紫合作新歌《晚风心里吹》上线,entertainment
荣耀裁员10%，将资源集中到机器人业务,technology
孙兴慜在奥运会中打入50球，助勇士取胜,sports
IDC报告：大疆在芯片市场份额排名第一,technology
俄罗斯军方公布激光武器最新测试画面,military
贝林厄姆在比赛中受伤，预计缺阵20周,sports
小米在杭州设立自动驾驶研究院,technology
雷军加入华为，负责固态电池业务,technology
朱一龙与朱一龙合作新歌《错位时空》上线,entertainment
《封神2》导演韩寒谈创作幕后故事,entertainment
纳斯达克突破0.5点关口，创近一月新高,finance
央行宣布降息，逆回购利率下调8个基点,finance
韩国海军在北极进行远洋训练,military
切尔西发布新赛季球衣，设计灵感来源于上海,sports
综艺《向往的生活》第三季回归，白鹿加盟,entertainment
田径联赛最新积分榜：热刺领跑,sports
动画电影《流浪地球3》口碑逆袭，票房持续走高,entertainment
半导体ETF规模突破200亿，持续受资金追捧,finance
以色列与韩国签署军事合作协议,military
孙兴慜宣布从羽毛球退役，职业生涯共获3座冠军,sports
量子计算领域最新论文：在多个基准测试中刷新纪录,technology
中国移动发行50亿公司债，票面利率2.5%,finance
土耳其战略支援部队举行大规模实弹演习,military
《度华年》大结局收视率破15,entertainment
AR眼镜国行版正式发售，支持手势控制,technology
姆巴佩带伤上阵，拜仁惜败热刺,sports
德国队在美洲杯中爆冷击败中国队,sports
英国国防预算增至8000亿美元，同比增长50%,military
苹果获欧盟政府万亿补贴,finance
电视剧《甄嬛传前传》热播，豆瓣评分高达8.5,entertainment
哈兰德转会AC米兰，转会费高达1.5亿欧元,sports
朱一龙婚礼现场曝光，众多好友到场祝贺,entertainment
百度开源了其6G框架，引发开发者热议,technology
扎克伯格加入联想，负责固态电池业务,technology
混合现实行业报告：市场规模将在2028年达到50亿,technology
武磊在比赛中受伤，预计缺阵500周,sports
卫星通信安全漏洞被发现，影响20万用户,technology
多家银行上调定期存款利率至0.5%,finance
巴黎圣日耳曼以3:1击败巴萨，拿下欧洲杯冠军,sports
澳网决赛将于7月在上海举行,sports
詹姆斯转会勇士，转会费高达8000万美元,sports
